element_id,is_transition_metal,n_ws_13,phi,v_23,mu,r_over_p
1,0,1.5,5.2,1.42,0.14,
3,0,0.98,2.85,5.5,0.14,0
4,0,1.6,4.2,2.9,0.1,0.4
5,0,1.55,4.75,2.8,0.04,1.9
6,0,1.9,6.2,1.8,0.04,2.1
7,0,1.6,7.0,2.2,0.04,2.3
11,0,0.82,2.7,8.3,0.14,0
12,0,1.17,3.45,5.8,0.1,0.4
13,0,1.39,4.2,4.6,0.07,1.9
14,0,1.5,4.7,4.2,0.04,2.1
15,0,1.53,4.95,3.8,0.04,
19,0,0.65,2.25,12.8,0.14,0
20,1,0.91,2.55,8.8,0.1,0.4
21,1,1.27,3.25,6.1,0.07,1.0
22,1,1.47,3.65,4.8,0.04,1.0
23,1,1.64,4.25,4.1,0.04,1.0
24,1,1.73,4.65,3.7,0.04,1.0
25,1,1.61,4.45,3.8,0.04,1.0
26,1,1.77,4.93,3.7,0.04,1.0
27,1,1.75,5.1,3.5,0.04,1.0
28,1,1.75,5.2,3.5,0.04,1.0
29,1,1.47,4.55,3.7,0.07,0.3
30,0,1.32,4.1,4.4,0.04,1.4
31,0,1.31,4.1,5.2,0.07,1.9
32,0,1.37,4.55,4.6,0.04,2.1
33,0,1.44,4.8,5.2,0.04,2.3
37,0,0.6,2.1,14.6,0.14,0
38,1,0.84,2.4,10.2,0.1,0.4
39,1,1.21,3.2,7.3,0.07,0.7
40,1,1.39,3.4,5.8,0.04,1.0
41,1,1.62,4.0,4.9,0.04,1.0
42,1,1.77,4.65,4.4,0.04,1.0
43,1,1.81,5.3,4.2,0.04,1.0
44,1,1.83,5.4,4.1,0.04,1.0
45,1,1.76,5.4,4.1,0.04,1.0
46,1,1.67,5.45,4.3,0.04,1.0
47,1,1.39,4.45,4.7,0.07,0.15
48,0,1.24,4.05,5.5,0.04,1.4
49,0,1.17,3.9,6.3,0.07,1.9
50,0,1.24,4.15,6.4,0.04,2.1
51,0,1.26,4.4,6.6,0.04,2.3
55,0,0.55,1.95,16.8,0.14,0
56,1,0.81,2.32,11.3,0.1,0.4
57,1,1.09,3.05,8.0,0.07,0.7
72,1,1.43,3.55,5.6,0.04,1.0
73,1,1.63,4.05,4.9,0.04,1.0
74,1,1.81,4.8,4.5,0.04,1.0
75,1,1.86,5.4,4.3,0.04,1.0
76,1,1.85,5.4,4.2,0.04,1.0
77,1,1.83,5.55,4.2,0.04,1.0
78,1,1.78,5.65,4.4,0.04,1.0
79,1,1.57,5.15,4.7,0.07,0.3
80,0,1.24,4.2,5.8,0.04,1.4
81,0,1.12,3.9,6.6,0.07,1.9
82,0,1.15,4.1,6.9,0.04,2.1
83,0,1.16,4.15,7.2,0.04,2.3
90,1,1.28,3.3,7.3,0.04,0.7
92,1,1.56,4.05,5.6,0.04,1.0
94,1,1.44,3.8,5.2,0.04,1.0
