symbol,name,category
H,Hydrogen,element
He,Helium,element
Li,Lithium,element
Be,Beryllium,element
B,Boron,element
C,Carbon,element
N,Nitrogen,element
O,Oxygen,element
F,Fluorine,element
Ne,Neon,element
Na,Sodium,element
Mg,Magnesium,element
Al,Aluminium,element
Si,Silicon,element
P,Phosphorus,element
S,Sulfur,element
Cl,Chlorine,element
Ar,Argon,element
K,Potassium,element
Ca,Calcium,element
Sc,Scandium,element
Ti,Titanium,element
V,Vanadium,element
Cr,Chromium,element
Mn,Manganese,element
Fe,Iron,element
Co,Cobalt,element
Ni,Nickel,element
Cu,Copper,element
Zn,Zinc,element
Ga,Gallium,element
Ge,Germanium,element
As,Arsenic,element
Se,Selenium,element
Br,Bromine,element
Kr,Krypton,element
Rb,Rubidium,element
Sr,Strontium,element
Y,Yttrium,element
Zr,Zirconium,element
Nb,Niobium,element
Mo,Molybdenum,element
Tc,Technetium,element
Ru,Ruthenium,element
Rh,Rhodium,element
Pd,Palladium,element
Ag,Silver,element
Cd,Cadmium,element
In,Indium,element
Sn,Tin,element
Sb,Antimony,element
Te,Tellurium,element
I,Iodine,element
Xe,Xenon,element
Cs,Cesium,element
Ba,Barium,element
La,Lanthanum,element
Ce,Cerium,element
Pr,Praseodymium,element
Nd,Neodymium,element
Pm,Promethium,element
Sm,Samarium,element
Eu,Europium,element
Gd,Gadolinium,element
Tb,Terbium,element
Dy,Dysprosium,element
Ho,Holmium,element
Er,Erbium,element
Tm,Thulium,element
Yb,Ytterbium,element
Lu,Lutetium,element
Hf,Hafnium,element
Ta,Tantalum,element
W,Tungsten,element
Re,Rhenium,element
Os,Osmium,element
Ir,Iridium,element
Pt,Platinum,element
Au,Gold,element
Hg,Mercury,element
Tl,Thallium,element
Pb,Lead,element
Bi,Bismuth,element
Po,Polonium,element
At,Astatine,element
Rn,Radon,element
Fr,Francium,element
Ra,Radium,element
Ac,Actinium,element
Th,Thorium,element
Pa,Protactinium,element
U,Uranium,element
Np,Neptunium,element
Pu,Plutonium,element
Am,Americium,element
Cm,Curium,element
Bk,Berkelium,element
Cf,Californium,element
Es,Einsteinium,element
Fm,Fermium,element
Md,Mendelevium,element
No,Nobelium,element
Lr,Lawrencium,element
Rf,Rutherfordium,element
Db,Dubnium,element
Sg,Seaborgium,element
Bh,Bohrium,element
Hs,Hassium,element
Mt,Meitnerium,element
Ds,Darmstadtium,element
Rg,Roentgenium,element
Cn,Copernicium,element
Nh,Nihonium,element
Fl,Flerovium,element
Mc,Moscovium,element
Lv,Livermorium,element
Ts,Tennessine,element
Og,Oganesson,element
